Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
CPRT,48.5,+3.10%,1.46,47.04,47.11,45.00 x 800,51.84 x 1000,46.95 - 48.55,35.32 - 67.08,993561,2248486
GLW,31.23,+2.09%,0.64,30.59,30.62,31.07 x 900,31.49 x 900,30.42 - 31.31,26.11 - 36.56,6705887,5452284
COST,227.92,+2.47%,5.5,222.42,223.1,227.60 x 100,228.07 x 800,223.01 - 228.21,159.72 - 245.16,1884914,2270876
COTY,10.19,+3.87%,0.38,9.81,9.88,0.00 x 4000,0.00 x 29200,9.78 - 10.21,9.69 - 21.68,10223933,7992212
CCI,109.52,+3.27%,3.47,106.05,106.77,0.00 x 800,0.00 x 800,105.98 - 110.12,98.85 - 114.97,3117118,2134675
CSX,68.81,+4.75%,3.12,65.69,65.98,68.20 x 2900,68.85 x 1300,65.93 - 68.98,48.26 - 76.24,7568236,5597480
CMI,134.4,+2.30%,3.02,131.38,129.73,0.00 x 800,0.00 x 800,124.72 - 134.99,124.72 - 194.18,3202928,1495773
CVS,72.39,+2.62%,1.85,70.54,71.03,0.00 x 1400,72.60 x 800,70.33 - 72.47,60.14 - 83.88,7205948,7372789
DHI,36.36,+3.77%,1.32,35.04,34.93,33.31 x 3200,37.00 x 1300,34.63 - 36.41,34.37 - 53.32,6062074,4345689
DHR,97.72,+0.90%,0.87,96.85,97.14,0.00 x 900,0.00 x 800,96.48 - 98.38,91.65 - 110.13,3178496,2373061
DRI,108.07,+2.77%,2.91,105.16,105.94,54.42 x 900,0.00 x 1000,104.10 - 108.16,79.18 - 124.00,1390290,1237472
DVA,66.76,+1.01%,0.67,66.09,66.34,0.00 x 800,72.75 x 1300,65.61 - 66.90,52.51 - 80.71,1325497,1486655
DE,132.76,+1.69%,2.2,130.56,130.5,0.00 x 800,0.00 x 800,129.29 - 132.96,129.29 - 175.26,2347645,2416586
DAL,55.12,+3.18%,1.7,53.42,53.39,0.00 x 1000,0.00 x 800,53.38 - 55.22,48.33 - 60.79,7526163,5832944
XRAY,34.99,+1.95%,0.67,34.32,34.48,15.00 x 3200,35.01 x 1800,34.08 - 35.13,33.93 - 68.98,2635226,3135361
DVN,32.32,+4.33%,1.34,30.98,30.76,0.00 x 800,0.00 x 1800,30.66 - 32.39,29.83 - 46.54,7518775,6610629
DLR,103.97,-2.08%,-2.21,106.18,106.15,102.75 x 800,0.00 x 800,103.05 - 107.60,96.56 - 125.10,2880009,1368921
DFS,69.18,+1.86%,1.26,67.92,68.41,0.00 x 800,70.00 x 900,67.80 - 69.31,63.31 - 81.93,2098944,1923730
DISCA,31.25,+2.93%,0.89,30.36,30.41,30.11 x 1100,31.57 x 800,30.32 - 31.89,15.99 - 34.06,3927129,4033324
DISCK,28.37,+2.83%,0.78,27.59,27.67,24.00 x 2900,34.00 x 1000,27.67 - 28.91,14.99 - 31.39,2393334,2372509
DISH,29.45,+5.07%,1.42,28.03,28.01,29.59 x 800,30.54 x 2200,27.89 - 29.65,27.54 - 52.53,3212622,3136749
DG,112.45,+2.30%,2.53,109.92,110.28,0.00 x 1000,0.00 x 1000,110.00 - 112.50,79.79 - 113.48,2418999,2271829
DLTR,84.34,+0.66%,0.55,83.79,84.21,81.01 x 800,85.48 x 100,83.68 - 85.08,78.78 - 116.65,1808749,4106715
D,72.84,+0.89%,0.64,72.2,72.52,0.00 x 800,74.71 x 2900,71.72 - 72.94,61.53 - 85.30,3824358,2982972
DOV,83.03,+1.75%,1.43,81.6,81.78,0.00 x 1000,0.00 x 800,81.60 - 83.25,70.11 - 90.26,1925278,1558316
DWDP,52.63,+1.08%,0.56,52.07,52.05,52.63 x 1200,53.47 x 3200,51.55 - 53.12,51.32 - 77.08,15344570,9473936
DTE,114.36,+0.64%,0.73,113.63,114.06,0.00 x 900,0.00 x 800,112.89 - 114.82,94.25 - 118.22,1202154,1159807
DRE,27.98,-0.21%,-0.06,28.04,28.13,0.00 x 4000,0.00 x 900,27.93 - 28.44,24.30 - 29.48,2429799,2268818
DUK,83.83,+0.44%,0.37,83.46,83.8,0.00 x 1100,0.00 x 1200,82.63 - 84.23,71.96 - 91.80,2995980,3876155
DXC,71.06,+2.19%,1.52,69.54,69.42,0.00 x 1100,77.69 x 800,69.04 - 71.58,68.59 - 96.75,1904693,1945411
ETFC,48.24,+1.15%,0.55,47.69,47.62,45.67 x 1000,48.89 x 1000,46.79 - 48.33,42.56 - 66.46,3971163,2985920
EMN,79.02,+3.44%,2.63,76.39,76.39,0.00 x 800,0.00 x 1000,75.99 - 79.38,73.95 - 112.45,1855271,1116250
ETN,70.35,-0.96%,-0.68,71.03,68.43,0.00 x 1300,71.00 x 800,67.70 - 70.88,67.70 - 89.85,7648224,2542947
